Graph,Eigval difference,Suboptimality difference
G1,4.107145179510496e-12,2.7151197956598594e-13
G2,7.353007092092412e-13,4.8597844498621257e-14
G3,3.338906928718188e-11,2.2067066056397078e-12
G4,1.6043540176924331e-9,1.0577595076959392e-10
G5,1.209417288539072e-11,7.991485077851745e-13
G6,4.093120287151919e-11,2.705621100426714e-12
G7,1.282446371320134e-13,8.463715839290842e-15
G8,2.0035011913388523e-9,1.3248606855684186e-10
G9,1.5034124500878931e-9,9.942082140196318e-11
G10,3.733263698180167e-13,2.469899285095778e-14
G11,9.45156453102669e-12,4.726999065611526e-12
G12,1.1504686092678185e-14,5.727623236806423e-15
G13,5.825064280755299e-13,2.9032939247164435e-13
G14,9.034637922476774e-7,2.2574840355025182e-7
G15,8.716791068466567e-9,2.1944527490731086e-9
G16,1.854402305150049e-8,4.666369971418477e-9
G17,4.199436195746059e-8,1.0576213991663353e-8
G18,6.917957161983734e-10,1.7314844653545935e-10
G19,1.3757592280672082e-8,3.4617819145933617e-9
G20,2.719415878246756e-9,6.847761060448099e-10
G21,1.0283299003988056e-9,2.586436230120337e-10
